18/10/2022 16:51:55.353/Iniciou o main
18/10/2022 16:51:55.358/Abriu a comunicação
18/10/2022 16:51:55.394/Enviou Handshakeb'\x01\x00\x00-\x00\xf3\x00\x00\x00\x00'
18/10/2022 16:51:58.481/ Handshake recebido
18/10/2022 16:51:58.513/ Enviando pacote b'\x00\x00\x00-\x00r\x00\x00\x00\x00'
18/10/2022 16:52:00.579/ Ack Recebido b'\x04\x00\x00-\x00r\x00\x00\x00'
18/10/2022 16:52:00.731/ Enviando pacote b'\x00\x00\x00-\x01r\x00\x00\x00\x00'
18/10/2022 16:52:02.627/ Ack Recebido b'\x04\x00\x00-\x01r\x00\x00\x00'
18/10/2022 16:52:02.779/ Enviando pacote b'\x00\x00\x00-\x02r\x00\x01\x00\x00'
18/10/2022 16:52:04.671/ Ack Recebido b'\x04\x00\x00-\x02r\x00\x00\x00'
18/10/2022 16:52:04.823/ Enviando pacote b'\x00\x00\x00-\x03r\x00\x02\x00\x00'
18/10/2022 16:52:06.592/ Ack Recebido b'\x04\x00\x00-\x03r\x00\x00\x00'
18/10/2022 16:52:06.744/ Enviando pacote b'\x00\x00\x00-\x04r\x00\x03\x00\x00'
18/10/2022 16:52:08.645/ Ack Recebido b'\x04\x00\x00-\x04r\x00\x00\x00'
18/10/2022 16:52:08.808/ Enviando pacote b'\x00\x00\x00-\x05r\x00\x04\x00\x00'
18/10/2022 16:52:10.639/ Ack Recebido b'\x04\x00\x00-\x05r\x00\x00\x00'
18/10/2022 16:52:10.791/ Enviando pacote b'\x00\x00\x00-\x06r\x00\x05\x00\x00'
18/10/2022 16:52:12.677/ Ack Recebido b'\x04\x00\x00-\x06r\x00\x00\x00'
18/10/2022 16:52:12.830/ Enviando pacote b'\x00\x00\x00-\x07r\x00\x06\x00\x00'
18/10/2022 16:52:15.078/ Enviando pacote b'\x00\x00\x00-\x07r\x00\x06\x00\x00'
18/10/2022 16:52:17.056/ Enviando pacote b'\x00\x00\x00-\x07r\x00\x06\x00\x00'
18/10/2022 16:52:19.081/ Enviando pacote b'\x00\x00\x00-\x07r\x00\x06\x00\x00'
18/10/2022 16:52:20.862/ Erro Reeviando pacote 8
